name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"mu[448]",14,0.022,1.4,12,14,16,3928,1822,1.00
"mu[449]",3.3,0.014,0.89,1.8,3.3,4.8,4179,1938,1.0
"mu[450]",-18,0.035,2.2,-22,-18,-15,3894,1806,1.00
"mu[451]",4.1,0.014,0.90,2.6,4.1,5.6,4167,1933,1.00
"mu[452]",-10,0.024,1.5,-13,-10,-7.5,3989,1850,1.00
"mu[453]",-6.9,0.020,1.3,-9.0,-6.9,-4.8,4049,1878,1.00
"mu[454]",-12,0.026,1.6,-14,-12,-8.9,3967,1840,1.00
"mu[455]",1.8,0.014,0.89,0.30,1.7,3.2,4191,1944,1.0
"mu[456]",0.94,0.014,0.91,-0.53,0.94,2.4,4191,1944,1.0
"mu[457]",1.7,0.014,0.90,0.22,1.7,3.2,4191,1944,1.0
"mu[458]",4.2,0.014,0.90,2.8,4.2,5.7,4165,1932,1.00
"mu[459]",-6.8,0.020,1.3,-8.9,-6.8,-4.7,4051,1879,1.00
"mu[460]",-3.6,0.017,1.1,-5.3,-3.6,-1.8,4092,1898,1.0
"mu[461]",-0.19,0.014,0.93,-1.7,-0.18,1.3,4186,1942,1.0
"mu[462]",4.1,0.014,0.90,2.6,4.1,5.6,4168,1933,1.00
"mu[463]",7.1,0.015,0.98,5.5,7.1,8.7,4107,1905,1.00
"mu[464]",1.4,0.014,0.90,-0.095,1.4,2.8,4191,1944,1.0
"mu[465]",8.9,0.017,1.1,7.1,8.9,11,4047,1877,1.00
"mu[466]",5.2,0.014,0.92,3.6,5.2,6.7,4148,1924,1.00
"mu[467]",10,0.018,1.1,8.2,10,12,4012,1861,1.00
"mu[468]",-2.8,0.016,1.0,-4.5,-2.8,-1.1,4139,1920,1.0
"mu[469]",-5.9,0.019,1.2,-7.9,-5.9,-3.9,4074,1889,1.00
"mu[470]",-2.7,0.016,1.0,-4.4,-2.7,-1.0,4143,1922,1.0
"mu[471]",10,0.018,1.2,8.6,10,12,4000,1855,1.00
"mu[472]",-1.3,0.015,0.97,-2.9,-1.4,0.24,4174,1936,1.0
"mu[473]",-1.2,0.015,0.96,-2.8,-1.2,0.38,4176,1937,1.0
"mu[474]",-2.5,0.016,1.0,-4.2,-2.5,-0.82,4153,1926,1.0
"mu[475]",2.6,0.014,0.89,1.2,2.6,4.1,4185,1941,1.0
"mu[476]",16,0.025,1.5,13,16,19,3896,1807,1.00
"mu[477]",12,0.020,1.3,10,12,14,3958,1836,1.00
"mu[478]",8.5,0.016,1.0,6.8,8.5,10,4059,1883,1.00
"mu[479]",-5.4,0.018,1.2,-7.3,-5.4,-3.5,4085,1895,1.00
"mu[480]",2.0,0.014,0.89,0.57,2.0,3.5,4190,1943,1.0
"mu[481]",3.5,0.014,0.89,2.0,3.5,4.9,4176,1937,1.0
"mu[482]",14,0.023,1.4,12,14,17,3919,1818,1.00
"mu[483]",-16,0.031,2.0,-19,-16,-12,3917,1817,1.00
"mu[484]",1.7,0.014,0.90,0.21,1.7,3.1,4191,1944,1.0
"mu[485]",-15,0.030,1.9,-18,-15,-12,3924,1820,1.00
"mu[486]",-1.6,0.015,0.98,-3.2,-1.6,-0.026,4169,1934,1.0
"mu[487]",-9.5,0.023,1.5,-12,-9.5,-7.0,3999,1855,1.00
"mu[488]",-4.5,0.018,1.1,-6.4,-4.5,-2.7,4108,1905,1.0
"mu[489]",16,0.024,1.5,13,16,18,3902,1810,1.00
"mu[490]",3.4,0.014,0.89,1.9,3.4,4.8,4177,1938,1.0
"mu[491]",-17,0.033,2.1,-20,-17,-14,3903,1810,1.00
"mu[492]",-1.2,0.015,0.96,-2.7,-1.2,0.42,4177,1937,1.0
"mu[493]",-14,0.029,1.8,-17,-14,-11,3940,1827,1.00
"mu[494]",3.7,0.014,0.89,2.2,3.7,5.2,4173,1936,1.0
"mu[495]",16,0.024,1.5,13,16,18,3900,1809,1.00
"mu[496]",2.5,0.014,0.89,1.0,2.5,3.9,4187,1942,1.0
"mu[497]",7.5,0.016,1.00,5.8,7.5,9.1,4095,1899,1.00
"mu[498]",10,0.018,1.1,8.2,10,12,4012,1861,1.00
"mu[499]",6.7,0.015,0.97,5.1,6.7,8.3,4113,1908,1.00
"mu[500]",17,0.026,1.6,14,17,19,3888,1803,1.00
"mu[501]",-14,0.028,1.8,-16,-13,-11,3942,1829,1.00
"mu[502]",10,0.018,1.2,8.5,10,12,4002,1856,1.00
"mu[503]",1.6,0.014,0.90,0.098,1.6,3.0,4191,1944,1.0
"mu[504]",3.6,0.014,0.89,2.1,3.6,5.0,4175,1936,1.0
"mu[505]",11,0.019,1.2,8.9,11,13,3990,1851,1.00
"mu[506]",9.6,0.017,1.1,7.8,9.6,11,4025,1867,1.00
"mu[507]",-5.5,0.019,1.2,-7.5,-5.5,-3.6,4082,1893,1.00
"mu[508]",20,0.030,1.8,16,20,23,3863,1792,1.00
"mu[509]",7.1,0.015,0.98,5.5,7.1,8.7,4108,1906,1.00
"mu[510]",-7.6,0.021,1.3,-9.8,-7.6,-5.4,4033,1871,1.00
"mu[511]",4.6,0.014,0.91,3.1,4.6,6.1,4159,1929,1.00
